Age,Gender,Ethnicity,BrCitizen,AgetoUK,UniYear,BSPub1R,BSPub2,BSPub3,BSPub4,BSPubResp,BSSlur1R,BSSlur2,BSSlur3,BSSlur4,BSSlur5,BSSlur6,BSSlur7,BSSlurResp,BSDrunkGroup2B,BSDrunk1,BSDrunk2,BSDrunk3,BSDrunk4,BSDrunk5,BSDrunk6,BSDrunk7,BSDrunkResp,BSDrunkRisk,LeftRight,GenTrust,CivEngPol1,CivEngVol1,CivEngPol2,CivEngVol2,CivEngVol3,CivEngPol3,CivEngVol4,CivEngPol4,DivPol1,DivPol2,DivPol3,DivPol4,DivPol5,DivPol6,DivPol7,DivPol8,FrEthn1,FrEthn2,FrEthn3,FrEthn4,FrEthn5,IOSblack,IOSsAs,IOSwhite,InteractBlack,InteractSAsian,InteractWBrit,InteractOthBr,InteractNonBr,SchoolBlack,SchoolSAsian,SchoolWhBr,SchoolOthBr,SchoolNonBr,SelfExp1,SelfExp2,SelfExp3,SelfExp4,DivValWhBr,DivValBlackBr,DivValSAsBr,DivValpersBr,DivValpersUni,DivValProm,DivValInstr1,DivValInstr2R,DivValpersContact1,DivValInstr3,DivValInstr4,DivValpersContact2R,DivValInstr5,AffBlWarm,AffBlNeg,AffSAsWarm,AffSAsNeg,AffWhWarm,AffWhNeg,SCMBlConfident,SCMBlSincere,SCMBlCompetent,SCMBlWarm,SCMSAsConfident,SCMSAsSincere,SCMSAsCompetent,SCMSAsWarm,SCMWhConfident,SCMWhSincere,SCMWhCompetent,SCMWhWarm,nWhExpWhComplimented,nWhExpWhRidiculed,nWhExpWhMadeFeelUnwanted,nWhExpWhVerbAbused,nWhExpWhBefriended,nWhExpWhMadeFeelWelcome,nWhExpWhIntimidated,nWhExpWhSupported,nWhExpWhThreathened,nWhExpWhHelped,nWhExtConNum,nWhExtConPerc,nWhSelfDiscWorry,nWhSelfDiscFeel,nWhAnxHallUnhappy,nWhAnxHallPleased,nWhAnxHallTense,nWhEmpathy1,nWhEmpathy2,nWhPerspTak1,nWhPerspTak2,nWhPerspTak3,nWhPerspTak4R,nWhPerspTak5R,nWhBelDirections,nWhBelDancing,nWhEthnId1,nWhEthnId2,nWhEthnId3,nWhEthnId4,nWhWhPriv1,nWhWhPriv2R,nWhSterWhPriviliged,nWhSterWhSupportive,nWhSterWhArrogant,nWhSterWhPrejudiced,Rubbish8,nWhExpComfortable,nWhExpSuspicious,nWhExpAwkward,nWhExpSecure,nWhExpThreatened,nWhExpConfident,nWhUnfavWh,WhExpBlComplimented,WhExpBlRidiculed,WhExpBlMadeFeelUnwanted,WhExpBlVerbAbused,WhExpBlBefriended,WhExpBlMadeFeelWelcome,WhExpBlIntimidated,WhExpBlSupported,WhExpBlThreathened,WhExpBlHelped,WhExtConNum,WhExtConPerc,WhSelfDiscWorry,WhSelfDiscFeel,WhAnxHallUnhappy,WhAnxHallPleased,WhAnxHallTense,WhEmpathy1,WhEmpathy2,WhPerspTak1,WhPerspTak2,WhPerspTak3,WhPerspTak4R,WhPerspTak5R,WhBelDirections,WhBelDancing,WhEthnId1,WhEthnId2,WhEthnId3,WhEthnId4,WhGuilt1,WhGuilt2,WhWhPriv1,WhWhPriv2R,WhSterWhPriviliged,WhSterWhSupportive,WhSterWhArrogant,WhSterWhPrejudiced,WhMetaSterWhPriviliged,WhMetaSterWhSupportive,WhMetaSterWhArrogant,WhMetaSterWhPrejudiced,Rubbish1,WhExpComfortable,WhExpSuspicious,WhExpAwkward,WhExpSecure,WhExpThreatened,WhExpConfident,WhUnfavSAsBr,WhUnfavBlBr,FrequDiscrLabour,FrequDiscrPolice,FrequDiscrFellWhEmpl,FrequDiscrFaculty,FrequDiscrGlaring,FrequDiscrSlurs,FrequDiscrPubs,Rubbish2,Rubbish3,Rubbish4,Rubbish5,MedWealthAfrCar,Rubbish6,SharAfrCarFirstTwoOne,AttribAbility,AttribEduOpps,AttribRespect,PrejBelNoLonger,PrejBelNoFav,PrejBelLessDes,PrejBelUnequOpps,PrejBelLackResp,RAS2,RAS3,RAS4R,RAS5R,RAS6,RAS7R,RAS8,RAS9R,RAS10R,RAS11,PAuth1,PAuth2R,PAuth3R,PAuth4R,PAuth5R,PAuth6R,PAuth7R,PAuth8,PAuth9R,PAuth10R,SelfDec1R,SelfDec2,SelfDec3R,SelfDec4,SelfDec5R,SelfDec6,SelfDec7,SelfDec8R,MotUnprejExt1,MotUnprejInt1,MotUnprejExt2,MotUnprejInt2,MotUnprejInt3,MotUnprejExt3,ID,PercDone
18,2,10,1,,1,4,5,5,4,3,2,6,4,5,6,6,6,3,2,7,6,6,3,5,2,5,6,6,2,3,2,1,4,1,1,4,3,4,5,6,5,5,3,6,5,6,4,3,3,4,3,,,4,10,10,50,10,20,10,20,60,0,10,2,2,5,5,4,4,5,5,5,4,5,2,4,5,6,5,6,5,1,5,1,5,1,6,4,6,4,5,4,6,5,6,4,6,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,1,4,1,3,3,3,3,1,3,5,50,5,1,4,3,3,6,6,3,3,2,5,4,7,1,4,5,1,5,3,4,5,2,40,40,50,30,70,40,40,70,,7,1,1,6,1,5,2,2,4,5,4,5,5,6,5,300000,60,300000,60,300000,60,60,2,3,2,2,3,5,6,2,4,1,4,4,3,4,2,5,5,3,4,2,5,4,4,4,5,2,4,2,5,2,4,8,5,4,8,4,2,6,2,5,6,2,234300305,100
20,1,2,1,,2,5,5,5,5,3,1,6,2,7,6,5,5,6,2,3,3,3,2,5,4,5,4,3,5,3,2,1,1,1,1,1,1,4,3,2,3,1,1,4,3,4,3,3,3,3,3,4,,7,3,0,95,2,0,2,5,93,0,0,3,3,3,3,3,3,4,3,3,4,4,4,2,4,4,5,4,4,4,4,4,4,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,3,3,6,6,3,5,3,5,3,100,7,7,2,4,1,4,6,6,6,6,2,6,6,1,1,1,1,1,3,4,55,80,75,55,,5,2,4,5,3,6,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,5,5,1,2,3,2,50,0.75,50,075,50000,0.75,75,3,3,3,5,5,3,5,3,5,5,4,2,4,3,3,4,3,2,1,4,3,2,3,2,4,3,2,2,3,2,8,1,4,4,4,3,4,4,4,4,4,4,457900873,100
45,2,10,1,,2,3,5,5,1,2,2,7,3,1,1,1,5,7,1,2,2,1,2,6,2,6,1,2,1,2,5,1,4,1,1,5,2,4,7,7,7,7,7,5,7,7,3,3,4,3,3,3,,4,,0,80,5,15,0,5,85,5,5,5,7,5,5,3,5,4,7,7,2,7,1,7,7,7,7,7,5,1,5,1,4,2,6,5,7,7,4,7,7,5,5,7,5,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,2,2,2,5,7,2,7,2,7,5,82,7,6,1,5,1,7,7,5,3,3,1,2,7,1,1,1,1,5,7,7,7,1,80,15,88,73,50,20,91,99,Advantaged. Policies disadvantage them,7,2,4,7,2,7,2,9,7,7,7,5,7,7,7,25000,0.85,25000,085,25000,0.85,85,1,5,1,1,1,2,6,1,5,5,5,4,5,4,3,4,5,5,,1,5,1,5,5,5,3,4,1,5,5,6,1,5,4,1,4,4,7,1,7,7,1,512774039,100
20,2,10,1,,1,4,2,5,6,5,1,7,7,7,7,7,6,6,2,6,7,4,4,7,6,6,7,7,1,4,5,2,5,2,4,5,2,5,7,7,7,7,7,7,7,7,3,3,4,3,3,,,6,0,0,90,10,0,15,15,60,10,0,7,7,7,7,5,6,6,7,7,4,7,3,5,6,6,2,7,4,2,4,2,4,2,5,4,5,5,4,5,6,6,4,5,5,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,1,1,1,6,6,1,6,1,5,2,51,6,6,1,4,1,7,7,5,3,2,2,2,7,1,5,6,3,7,7,7,7,7,76,72,62,50,91,67,76,70,,7,1,1,7,1,6,2,2,6,7,6,6,4,6,6,,0.79,,079,,0.79,79,1,5,1,1,1,7,7,4,1,4,5,5,4,4,2,4,5,3,1,4,5,4,4,4,5,1,5,5,4,4,4,2,2,4,4,2,1,7,7,7,7,1,4055004,100
19,2,12,3,,2,7,5,3,2,1,1,7,7,7,7,6,7,5,2,1,4,3,3,7,7,5,6,7,4,5,3,3,1,3,5,5,5,1,3,7,7,6,6,4,5,5,3,4,4,3,4,,2,6,3,3,50,9,35,3,3,60,4,30,6,6,7,7,3,6,6,7,7,6,3,4,6,6,6,1,7,5,2,5,2,4,2,6,6,6,6,6,6,6,6,4,4,6,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,1,1,1,4,6,1,6,1,5,4,80,7,3,1,5,1,6,6,4,2,2,4,,7,2,5,5,2,6,5,4,7,1,70,60,30,30,80,50,40,30,,7,1,2,6,1,5,2,2,6,5,5,4,6,5,5,200,0.68,200,068,200000,0.68,68,2,3,3,3,3,5,5,3,4,3,4,4,4,4,3,5,5,3,2,3,4,4,4,5,4,1,5,3,5,4,3,1,5,2,4,6,4,7,4,3,5,3,189952971,100
20,2,10,1,,2,5,5,6,4,4,2,6,5,4,6,5,5,4,2,5,4,4,3,5,5,7,5,7,3,3,4,4,3,3,4,6,6,6,6,6,6,6,4,5,6,7,3,3,3,4,3,2,,5,10,10,70,5,5,15,0,85,0,0,5,5,5,5,5,5,5,5,5,5,7,2,7,7,7,3,6,3,3,3,3,3,3,6,6,6,6,6,6,6,6,6,6,6,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,3,3,3,5,5,3,5,1,6,3,29,4,5,4,2,4,6,6,2,2,1,4,5,7,1,2,4,2,6,6,6,7,1,73,51,78,5,19,43,36,68,,5,2,2,5,2,5,5,5,6,6,4,5,7,7,7,80000,90,80000,90,80000,90,90,1,5,1,2,2,6,6,1,2,1,4,4,1,4,1,5,5,1,1,4,4,3,3,5,5,1,5,5,4,8,4,1,2,2,3,3,2,6,5,6,7,4,222823010,100
18,2,10,1,,1,4,2,5,5,4,2,6,5,4,4,4,6,4,2,5,4,3,3,5,5,5,5,5,3,5,1,5,4,5,5,5,5,5,5,6,5,6,6,7,6,6,3,3,3,3,3,,,7,10,10,50,10,20,20,10,60,10,0,5,5,6,5,4,4,4,6,5,4,6,3,5,6,6,2,6,4,2,4,2,4,2,5,5,4,4,4,4,4,5,5,5,4,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,2,2,2,4,4,2,4,2,4,0,,4,3,3,2,3,5,6,3,3,3,5,5,6,2,3,4,4,5,5,6,5,2,71,61,31,31,91,41,70,40,Lazy?,5,2,2,5,2,5,2,2,5,6,5,4,5,4,6,275000,95,275000,95,275000,95,95,2,4,1,2,2,5,5,1,4,4,5,3,4,5,4,5,5,3,2,2,4,4,4,2,4,2,5,3,4,5,4,2,4,3,4,3,4,6,5,5,6,5,763951308,100
19,2,10,1,,1,5,5,6,4,5,2,5,2,2,2,2,2,2,1,2,4,2,2,4,4,3,3,3,4,6,4,4,1,4,4,4,4,4,4,4,4,4,4,5,4,4,3,3,2,3,1,5,5,7,60,60,95,0,0,40,0,50,10,0,6,6,6,6,5,5,5,6,6,5,6,1,6,6,6,2,6,5,1,5,1,5,1,5,5,5,5,5,5,5,5,5,5,5,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,2,2,2,2,6,2,6,2,6,All of them,100,7,7,1,5,1,6,6,4,4,4,2,2,6,2,6,6,6,6,7,6,5,4,68,73,78,38,82,82,94,23,N/a,6,1,1,6,1,6,1,1,6,6,6,4,5,5,5,43,75,43,75,43000,75,75,3,3,3,3,1,6,6,1,2,1,4,2,3,2,2,3,2,2,3,2,4,4,4,4,3,3,3,3,2,3,3,3,3,1,8,3,1,1,1,6,6,6,402624531,100
19,2,10,1,,1,2,7,4,7,1,1,7,7,7,7,7,7,7,2,7,4,2,1,6,6,6,5,5,2,7,4,6,1,6,6,6,2,3,7,7,7,7,4,6,7,7,3,3,3,4,3,4,2,7,10,10,50,0,30,5,5,90,0,0,7,7,7,7,4,4,4,6,6,6,7,1,7,7,7,1,7,5,1,5,1,5,1,4,4,4,4,4,4,4,4,4,4,4,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,1,1,1,7,7,1,7,1,7,3,76,7,5,1,4,1,7,7,2,1,1,4,4,7,1,1,5,1,7,7,7,7,7,70,91,20,,91,72,39,,Possibly ignorance (which we can be) and self importance (can also be the case),7,1,1,7,1,7,4,4,5,6,3,3,4,6,6,188,0.78,188,078,188000,0.78,78,1,5,1,3,2,2,2,1,5,4,5,3,4,4,2,5,5,2,2,1,5,4,5,4,5,2,4,5,6,2,4,1,5,4,4,2,4,7,7,7,7,4,348279856,100
19,2,10,1,,2,5,4,5,3,3,3,6,4,4,6,6,4,5,2,3,5,3,2,6,4,6,6,6,3,6,3,2,4,4,4,5,5,5,5,6,4,6,3,5,5,6,3,3,3,3,3,,4,4,2,2,90,3,3,3,3,90,2,2,6,6,6,6,4,4,4,4,4,4,7,2,4,4,4,4,4,5,1,5,1,5,1,4,4,4,4,4,4,4,4,4,4,4,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,4,4,4,4,4,4,4,4,4,6,57,4,3,3,3,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,50,50,50,49,52,50,52,50,.,7,1,4,4,4,4,5,5,5,6,5,5,5,6,6,100,63,100,63,100000,63,63,3,3,3,4,4,4,4,4,3,3,3,3,3,3,3,3,3,3,5,4,1,5,3,3,3,3,3,3,4,2,8,3,8,4,3,1,1,4,4,4,4,2,412839637,100
19,2,10,1,,2,6,3,5,6,4,1,7,7,7,6,7,6,7,2,7,7,6,5,6,6,7,7,7,7,2,5,5,1,5,5,5,5,5,6,4,6,6,4,7,7,7,3,3,1,3,3,6,,7,30,5,60,5,0,30,15,55,0,0,6,6,7,7,5,4,4,7,7,4,7,5,7,7,7,1,7,5,1,4,1,5,1,7,6,6,6,5,6,6,6,7,6,6,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,3,2,5,6,6,5,6,2,6,three,41,7,7,3,4,3,7,7,5,6,6,4,3,7,2,2,5,2,5,7,7,3,6,34,64,22,36,64,50,46,45,being stuck in their own way,6,2,2,5,1,5,2,2,4,4,4,4,4,4,4,245,68,245,68,245000,68,68,1,2,2,3,1,5,4,1,4,3,3,3,4,4,3,4,4,3,1,1,1,1,1,1,1,1,1,1,3,3,3,3,3,3,3,3,1,1,1,3,7,1,96272428,100
18,2,8,2,6,1,7,1,5,2,3,7,7,7,7,7,7,7,7,1,7,3,5,4,2,7,5,6,6,3,7,4,3,4,5,6,6,5,4,7,7,7,7,7,7,7,7,2,2,1,2,2,7,5,,10,50,20,0,20,50,45,5,0,0,7,7,7,7,2,5,7,7,7,7,7,1,7,7,7,7,7,5,1,5,1,5,1,7,7,7,7,7,7,7,7,7,7,7,7,7,1,1,1,7,7,1,5,1,7,0,9,7,7,1,5,1,3,3,1,1,1,7,7,4,1,7,7,7,7,7,7,100,49,47,47,,7,1,1,7,1,7,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,7,7,7,7,7,7,250000,69,250000,69,250000,69,69,4,2,4,6,5,6,5,6,5,5,5,5,5,5,5,5,5,5,2,4,4,2,2,4,3,4,3,2,3,4,4,3,5,4,4,5,5,6,5,6,5,6,52106522,100
18,1,10,1,,1,3,4,4,5,4,2,3,4,3,3,5,4,4,2,3,3,3,4,4,3,4,4,4,3,3,3,4,3,4,4,3,4,5,3,4,3,4,2,4,5,5,1,1,1,1,1,1,5,2,100,0,0,0,0,0,75,25,0,0,6,4,3,5,4,3,3,4,5,4,2,4,4,3,6,5,3,2,4,2,3,3,2,3,4,4,4,3,2,4,3,2,4,4,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,6,3,3,4,2,3,3,5,4,30,83,6,5,2,4,2,4,3,4,4,2,5,5,3,4,4,3,5,3,6,4,3,5,88,95,73,90,7,71,50,77,-,3,5,2,4,5,4,3,3,2,3,3,5,4,3,4,150000,80,150000,80,150000,80,80,1,4,2,2,4,2,5,3,4,4,4,4,4,3,4,4,4,4,4,3,3,4,3,4,2,3,2,4,2,3,3,4,2,4,2,3,2,4,3,4,4,3,187444362,100
18,2,10,1,,1,3,5,6,4,2,3,7,6,5,5,5,6,4,2,4,2,2,5,7,6,6,4,6,3,4,4,3,2,4,5,3,4,1,5,5,6,6,4,7,6,6,3,3,3,3,4,3,5,7,10,10,70,0,10,10,10,60,10,10,7,7,7,7,4,6,6,6,5,4,7,2,5,6,6,2,5,5,1,5,1,5,1,5,5,5,5,5,5,5,5,5,4,5,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,1,1,1,5,5,2,5,1,5,1,86,5,5,3,3,2,4,6,4,2,2,5,5,7,2,4,4,4,7,4,4,4,2,73,72,42,50,90,63,66,64,,7,2,2,6,2,6,1,1,5,7,5,3,4,4,4,300000,75,300000,75,300000,75,75,3,4,2,1,2,2,4,1,3,4,4,4,4,3,4,3,4,4,2,2,4,4,3,3,4,2,3,4,4,4,4,2,4,4,3,3,3,5,3,5,5,3,999251881,100
20,2,10,1,,2,7,3,5,3,2,4,7,5,5,5,6,5,3,2,7,5,4,4,7,6,7,7,7,2,3,5,4,4,4,4,3,3,5,5,6,6,6,6,6,6,7,3,3,3,3,1,6,,6,40,5,40,10,5,30,2,40,20,8,5,5,6,6,5,6,5,7,7,7,6,2,6,6,6,2,6,4,2,4,2,4,2,6,6,6,6,6,6,6,6,6,6,6,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,2,2,2,6,6,2,6,2,6,20,90,7,7,2,4,2,6,6,5,4,3,4,4,6,2,4,5,3,6,4,7,4,4,85,85,60,50,85,85,60,50,,6,2,2,6,2,6,9,2,5,5,5,4,4,4,6,300,0.78,300,078,300000,0.78,78,2,4,2,2,3,3,5,2,2,3,4,4,3,4,1,4,4,2,2,3,4,4,4,3,4,1,4,1,2,4,3,2,5,4,4,3,2,6,5,6,6,4,388073627,100
20,1,5,1,,2,2,6,6,3,5,3,7,6,5,3,6,7,6,1,6,7,7,4,6,6,6,6,6,4,5,2,5,1,2,5,2,2,5,6,6,6,6,4,6,7,7,4,3,3,3,3,3,2,4,0,25,50,0,25,10,20,65,0,5,5,5,6,6,3,4,4,6,6,5,6,3,5,5,7,2,7,4,2,4,2,4,2,6,5,6,5,5,5,6,6,4,5,6,5,5,2,2,2,6,6,2,6,2,6,4,100,7,7,3,3,1,6,6,6,6,6,2,2,6,2,4,6,5,5,6,2,50,87,42,50,"Ignorance, neighbourliness",5,3,3,5,3,5,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,6,5,5,3,3,5,100,35,100,35,100000,35,35,1,5,3,2,2,4,6,3,4,1,5,4,4,5,2,5,5,2,2,3,4,4,4,3,4,1,4,2,4,2,1,8,2,4,4,2,1,7,6,7,7,3,205883908,100
21,2,10,1,,2,7,4,4,3,3,2,6,6,6,4,5,5,5,2,2,4,4,1,5,6,6,6,7,5,6,4,6,1,6,6,6,6,3,4,5,5,5,5,5,5,5,3,3,4,3,3,3,4,7,20,20,60,0,0,10,30,60,0,0,7,7,7,7,5,7,5,6,6,6,6,2,6,7,6,3,4,4,2,4,2,4,2,6,6,6,6,4,6,6,6,4,6,6,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,4,4,4,4,4,4,4,4,4,43193,29,7,7,2,3,3,7,6,4,4,4,4,4,7,3,6,6,4,7,6,6,7,2,85,88,52,49,36,86,41,44,n/a,6,3,3,3,3,6,2,2,6,6,6,2,6,7,7,150,42,150,42,150000,42,42,1,5,2,1,1,5,7,1,3,1,5,5,3,2,2,3,4,1,2,2,5,5,5,4,4,2,3,3,4,4,4,8,8,8,4,4,2,5,5,5,5,2,952396119,100
20,2,5,1,,1,6,5,4,5,6,2,7,6,6,5,6,7,5,2,5,6,6,4,7,5,6,4,5,4,5,4,5,1,4,4,4,5,4,4,5,7,4,4,7,5,5,2,2,2,2,2,,4,,10,50,20,3,17,30,40,5,10,15,4,4,5,6,6,5,5,7,6,6,6,3,7,5,6,1,6,4,2,4,2,4,2,7,6,7,5,5,6,6,5,6,6,6,5,6,7,6,3,4,6,5,7,2,6,4,39,6,6,2,3,1,4,6,5,4,6,4,3,7,2,7,4,3,5,5,4,60,70,30,45,willing to explore other cultures ,6,3,3,5,3,6,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,5,3,2,4,,2,60,80,60,80,60000,80,80,4,2,3,3,6,2,2,3,4,3,5,3,5,3,3,5,4,5,1,3,3,4,3,3,5,2,4,3,2,5,6,2,5,3,8,3,3,6,4,6,7,2,5685053,100
19,2,9,3,,2,5,6,6,4,5,2,6,6,6,4,6,5,4,2,5,5,5,1,2,4,5,3,5,4,3,4,3,3,3,4,4,2,4,6,6,6,5,4,6,7,7,4,4,4,4,3,,,6,2,10,20,8,60,0,0,0,0,100,5,4,5,5,3,5,5,5,6,3,6,4,5,5,5,2,5,3,3,4,2,4,3,5,3,4,3,3,5,5,5,5,4,5,5,5,3,2,2,5,3,2,2,2,3,2,40,5,4,3,2,2,5,5,4,3,5,5,3,5,1,6,6,6,5,6,2,70,60,70,60,Students are friendly it’s older people that tend to be implicitly racist ,5,3,4,3,3,5,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,7,4,4,5,5,5,200,60,200,60,200000,60,60,2,4,2,2,2,3,4,2,4,1,4,4,4,4,3,4,4,3,2,3,4,4,2,4,4,2,4,4,3,3,2,2,8,2,4,8,4,5,3,6,6,3,937289934,100
19,2,10,1,,1,4,5,6,2,2,,7,7,5,4,5,6,6,2,5,4,7,2,4,2,6,7,7,7,5,5,3,1,5,5,4,5,5,3,5,6,6,4,5,5,5,3,3,3,3,3,,,7,30,10,60,0,0,30,0,40,0,30,5,4,4,5,5,5,4,6,6,4,6,4,4,4,5,4,5,5,1,5,1,5,1,7,4,4,5,3,3,6,6,7,4,5,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,4,3,2,2,6,5,5,2,6,7,91,7,7,2,4,3,4,7,5,2,2,5,5,6,2,2,4,4,4,5,6,6,2,44,26,68,51,78,44,67,69,upper class,7,2,2,4,4,6,3,2,5,7,3,4,4,6,5,200000,60,200000,60,200000,60,60,2,4,2,1,1,4,5,2,2,3,5,3,2,4,2,1,4,2,1,4,5,4,3,3,4,1,5,5,4,8,2,1,4,8,5,8,1,4,4,4,6,1,892185374,100
19,2,5,1,,1,4,5,5,4,4,3,4,4,3,3,4,4,3,2,5,5,4,4,5,5,6,6,6,5,4,3,3,3,3,3,3,3,3,4,4,4,5,4,4,4,4,2,1,1,2,2,6,7,,55,40,3,2,0,55,40,5,0,0,7,6,6,7,2,4,4,4,4,3,2,2,3,5,3,2,3,4,2,4,2,4,2,5,4,4,5,4,4,4,4,4,4,4,4,1,1,4,4,4,4,4,4,4,4,2,8,2,2,3,3,3,3,3,4,1,1,3,3,3,2,4,4,4,4,5,3,78,63,39,60,privileged ,3,3,3,3,3,3,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,5,5,5,5,5,5,100,80,100,80,100000,80,80,3,3,3,2,2,3,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4,4,4,4,4,4,40718177,100
20,2,10,1,,2,4,4,4,4,4,4,4,4,5,4,4,5,4,2,4,4,4,4,4,4,3,5,4,6,4,3,3,4,3,3,3,3,3,4,4,3,4,5,4,4,5,3,3,1,3,3,2,2,2,20,30,20,10,20,40,20,10,10,20,4,4,4,4,4,4,4,5,4,4,4,4,4,4,4,4,4,3,3,4,3,2,3,4,4,4,4,5,4,4,4,5,4,4,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,4,4,4,4,4,3,5,4,4,30,53,5,5,3,3,4,4,4,5,4,4,4,4,4,4,4,4,4,4,4,4,4,4,41,36,53,40,76,45,42,49,dont know,4,4,4,4,4,4,5,8,4,4,4,4,4,4,4,5000,78,5000,78,5000,78,78,3,3,3,4,4,4,4,4,,3,3,4,4,4,4,4,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4,4,4,4,4,4,857832073,100
19,2,10,1,,2,5,6,5,2,3,2,7,7,6,6,6,6,6,1,6,7,7,3,7,6,7,6,6,5,3,1,2,1,1,1,3,3,2,3,5,6,4,1,6,6,6,4,3,4,4,3,4,5,5,15,15,25,30,15,10,10,55,20,5,6,6,4,5,6,6,5,6,7,5,5,3,7,7,6,2,6,4,2,4,2,4,2,6,6,6,6,6,6,6,6,6,6,6,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,2,1,1,6,5,1,5,1,5,around 5,60,7,6,3,3,3,7,7,5,2,2,2,2,5,1,4,3,2,6,1,1,1,6,49,52,60,42,67,62,64,48,?,7,2,2,5,1,5,2,2,5,5,2,2,3,2,3,200,0.6,200,06,200000,0.6,60,4,4,3,5,4,3,3,2,5,2,5,4,5,4,3,3,5,3,2,2,3,3,2,4,5,2,4,4,4,3,2,3,4,4,4,5,5,6,6,6,6,3,123942399,100
19,1,7,1,,1,7,7,2,5,4,2,7,6,5,2,4,6,4,1,3,5,5,5,6,2,6,6,5,6,5,1,4,1,3,4,4,3,1,5,6,5,4,3,5,6,5,4,4,4,3,2,4,5,6,15,15,60,5,5,10,25,60,5,0,7,7,6,7,5,6,5,7,5,5,6,6,5,5,4,4,5,4,2,4,2,4,2,6,4,5,5,4,6,5,6,5,4,6,6,6,2,2,1,6,7,1,6,1,7,4,80,6,6,1,4,2,6,6,5,5,4,4,2,6,1,2,1,1,1,5,2,50,75,30,20,social,6,3,4,6,2,6,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,5,3,3,5,6,2,275000,70,275000,70,275000,70,70,2,4,3,2,5,5,5,2,3,4,2,4,3,4,4,3,4,3,1,4,4,5,2,2,4,2,3,3,4,2,4,1,4,4,5,4,3,5,3,6,4,4,212558283,100
19,2,10,1,,2,6,4,7,4,3,3,7,5,4,6,4,7,5,2,6,5,5,1,7,7,6,5,6,3,5,5,1,1,3,1,4,4,3,5,6,6,6,5,4,6,6,3,3,3,3,3,1,,7,5,5,70,10,10,5,0,80,10,5,5,5,4,4,5,5,5,5,5,4,7,2,6,7,7,2,7,4,2,4,2,4,2,4,4,4,4,4,4,4,4,4,4,4,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,1,1,1,1,4,2,5,1,5,4,40,5,2,3,3,3,4,4,4,4,2,4,4,6,1,4,4,2,6,4,5,5,2,84,50,50,20,10,50,50,80,,6,1,1,5,1,5,5,5,5,6,5,5,6,6,6,225,80,225,80,225000,80,80,1,5,1,1,1,7,6,4,1,2,5,5,4,5,2,5,5,2,2,4,4,4,4,3,4,2,2,3,4,8,3,2,8,3,4,5,4,7,5,7,7,2,742376610,100
