Age,Gender,Ethnicity,BrCitizen,AgetoUK,UniYear,BSPub1R,BSPub2,BSPub3,BSPub4,BSPubResp,BSSlur1R,BSSlur2,BSSlur3,BSSlur4,BSSlur5,BSSlur6,BSSlur7,BSSlurResp,BSDrunkGroup2B,BSDrunk1,BSDrunk2,BSDrunk3,BSDrunk4,BSDrunk5,BSDrunk6,BSDrunk7,BSDrunkResp,BSDrunkRisk,LeftRight,GenTrust,CivEngPol1,CivEngVol1,CivEngPol2,CivEngVol2,CivEngVol3,CivEngPol3,CivEngVol4,CivEngPol4,DivPol1,DivPol2,DivPol3,DivPol4,DivPol5,DivPol6,DivPol7,DivPol8,FrEthn1,FrEthn2,FrEthn3,FrEthn4,FrEthn5,IOSblack,IOSsAs,IOSwhite,InteractBlack,InteractSAsian,InteractWBrit,InteractOthBr,InteractNonBr,SchoolBlack,SchoolSAsian,SchoolWhBr,SchoolOthBr,SchoolNonBr,SelfExp1,SelfExp2,SelfExp3,SelfExp4,DivValWhBr,DivValBlackBr,DivValSAsBr,DivValpersBr,DivValpersUni,DivValProm,DivValInstr1,DivValInstr2R,DivValpersContact1,DivValInstr3,DivValInstr4,DivValpersContact2R,DivValInstr5,AffBlWarm,AffBlNeg,AffSAsWarm,AffSAsNeg,AffWhWarm,AffWhNeg,SCMBlConfident,SCMBlSincere,SCMBlCompetent,SCMBlWarm,SCMSAsConfident,SCMSAsSincere,SCMSAsCompetent,SCMSAsWarm,SCMWhConfident,SCMWhSincere,SCMWhCompetent,SCMWhWarm,nWhExpWhComplimented,nWhExpWhRidiculed,nWhExpWhMadeFeelUnwanted,nWhExpWhVerbAbused,nWhExpWhBefriended,nWhExpWhMadeFeelWelcome,nWhExpWhIntimidated,nWhExpWhSupported,nWhExpWhThreathened,nWhExpWhHelped,nWhExtConNum,nWhExtConPerc,nWhSelfDiscWorry,nWhSelfDiscFeel,nWhAnxHallUnhappy,nWhAnxHallPleased,nWhAnxHallTense,nWhEmpathy1,nWhEmpathy2,nWhPerspTak1,nWhPerspTak2,nWhPerspTak3,nWhPerspTak4R,nWhPerspTak5R,nWhBelDirections,nWhBelDancing,nWhEthnId1,nWhEthnId2,nWhEthnId3,nWhEthnId4,nWhWhPriv1,nWhWhPriv2R,nWhSterWhPriviliged,nWhSterWhSupportive,nWhSterWhArrogant,nWhSterWhPrejudiced,Rubbish8,nWhExpComfortable,nWhExpSuspicious,nWhExpAwkward,nWhExpSecure,nWhExpThreatened,nWhExpConfident,nWhUnfavWh,WhExpBlComplimented,WhExpBlRidiculed,WhExpBlMadeFeelUnwanted,WhExpBlVerbAbused,WhExpBlBefriended,WhExpBlMadeFeelWelcome,WhExpBlIntimidated,WhExpBlSupported,WhExpBlThreathened,WhExpBlHelped,WhExtConNum,WhExtConPerc,WhSelfDiscWorry,WhSelfDiscFeel,WhAnxHallUnhappy,WhAnxHallPleased,WhAnxHallTense,WhEmpathy1,WhEmpathy2,WhPerspTak1,WhPerspTak2,WhPerspTak3,WhPerspTak4R,WhPerspTak5R,WhBelDirections,WhBelDancing,WhEthnId1,WhEthnId2,WhEthnId3,WhEthnId4,WhGuilt1,WhGuilt2,WhWhPriv1,WhWhPriv2R,WhSterWhPriviliged,WhSterWhSupportive,WhSterWhArrogant,WhSterWhPrejudiced,WhMetaSterWhPriviliged,WhMetaSterWhSupportive,WhMetaSterWhArrogant,WhMetaSterWhPrejudiced,Rubbish1,WhExpComfortable,WhExpSuspicious,WhExpAwkward,WhExpSecure,WhExpThreatened,WhExpConfident,WhUnfavSAsBr,WhUnfavBlBr,FrequDiscrLabour,FrequDiscrPolice,FrequDiscrFellWhEmpl,FrequDiscrFaculty,FrequDiscrGlaring,FrequDiscrSlurs,FrequDiscrPubs,Rubbish2,Rubbish3,Rubbish4,Rubbish5,MedWealthAfrCar,Rubbish6,SharAfrCarFirstTwoOne,AttribAbility,AttribEduOpps,AttribRespect,PrejBelNoLonger,PrejBelNoFav,PrejBelLessDes,PrejBelUnequOpps,PrejBelLackResp,RAS2,RAS3,RAS4R,RAS5R,RAS6,RAS7R,RAS8,RAS9R,RAS10R,RAS11,PAuth1,PAuth2R,PAuth3R,PAuth4R,PAuth5R,PAuth6R,PAuth7R,PAuth8,PAuth9R,PAuth10R,SelfDec1R,SelfDec2,SelfDec3R,SelfDec4,SelfDec5R,SelfDec6,SelfDec7,SelfDec8R,MotUnprejExt1,MotUnprejInt1,MotUnprejExt2,MotUnprejInt2,MotUnprejInt3,MotUnprejExt3,ID,PercDone
20,2,10,1,,2,4,5,5,4,4,6,7,6,7,7,7,6,7,2,5,5,5,5,7,7,7,7,6,6,6,2,1,1,1,1,5,1,4,7,6,6,6,5,7,7,7,3,3,3,3,4,,,7,2,0,92,4,2,2,1,95,0,2,6,7,6,7,6,7,7,7,7,5,7,2,5,7,7,2,7,4,1,4,2,4,1,6,6,7,7,6,6,7,5,6,6,7,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,1,1,2,5,5,1,4,1,1,3,60,6,1,2,4,2,6,7,4,2,2,3,4,7,1,3,3,2,7,5,6,5,2,40,75,40,30,50,60,60,50,Have less discrimination to deal with,6,2,2,6,1,6,2,2,4,5,4,3,5,5,5,"250,000.",0.65,250000,065,250000,0.65,65,2,4,2,2,2,6,5,1,5,3,4,2,3,3,3,1,4,4,3,2,4,2,4,3,4,2,4,2,5,2,6,1,5,2,4,2,5,7,6,7,7,5,71769630,100
20,2,10,1,,2,7,6,6,4,2,4,6,6,,4,5,5,4,1,5,5,5,6,6,5,6,6,6,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,3,3,3,,,5,20,0,70,10,0,20,0,70,10,0,5,6,6,6,4,4,4,4,4,4,4,4,4,4,4,4,4,5,1,5,1,5,1,6,6,6,6,6,6,6,6,6,6,6,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,6,6,6,6,6,6,6,6,6,4,33,7,7,1,5,1,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,66,61,57,23,82,65,77,12,,4,4,4,4,4,4,1,1,4,4,4,4,4,4,4,200,78,200,78,200000,78,78,3,3,3,4,4,4,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4,4,4,4,4,4,959992058,100
18,2,8,3,,1,2,5,4,5,6,5,5,2,2,4,4,4,3,2,5,2,2,6,7,6,6,4,7,2,1,2,3,2,2,5,2,2,2,4,4,5,5,2,4,4,4,4,4,4,4,4,1,2,1,1,1,1,1,96,0,0,0,0,100,5,5,5,5,3,4,5,4,4,4,2,2,5,2,2,2,7,4,4,4,3,2,2,3,6,3,6,6,6,6,6,7,3,7,3,2,5,2,2,4,4,4,5,1,4,1,56,5,2,3,3,3,4,5,2,3,3,3,5,4,3,2,2,2,5,6,1,71,50,57,45,Confident,4,2,2,2,3,7,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,3,5,4,5,5,2,200000,70,200000,70,200000,70,70,3,2,3,7,7,3,2,6,5,2,3,3,5,3,2,5,3,3,4,2,4,4,3,2,2,3,2,1,2,8,6,8,5,2,8,6,1,1,1,5,5,1,120076943,100
18,2,10,1,,1,6,1,5,5,1,2,6,3,1,1,1,2,1,2,2,2,2,1,6,5,7,2,5,8,5,3,3,3,4,4,3,3,3,3,3,4,3,3,6,5,5,3,2,3,2,3,,7,7,0,30,60,10,0,5,10,80,5,0,7,7,7,7,6,6,6,6,6,6,5,5,5,5,5,5,5,4,2,4,2,5,1,7,4,4,5,5,5,5,4,5,5,5,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,5,5,6,6,5,4,3,5,5,2,33,7,7,3,3,4,3,6,6,3,1,2,6,6,2,7,7,2,7,1,1,7,2,80,56,64,83,96,18,90,91,cockey ,3,1,6,3,4,5,8,8,6,5,6,5,5,2,7,25,0.4,25,04,25000,0.4,40,3,3,3,4,4,4,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,3,2,2,3,3,2,3,4,3,4,4,3,4,158597382,100
21,2,10,1,,1,7,4,4,4,3,3,5,5,5,6,6,5,3,2,4,4,3,5,5,3,5,5,6,4,5,3,3,3,3,3,3,3,3,4,5,5,4,4,4,5,5,3,3,3,3,3,,,,3,3,60,30,4,0,0,50,0,50,5,5,5,5,4,4,4,3,3,3,5,2,4,4,5,4,4,3,3,3,3,3,3,4,4,4,4,4,4,4,4,4,4,4,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,1,1,1,1,1,1,0,,4,4,3,3,3,4,4,4,4,4,3,3,4,2,3,3,3,3,2,3,3,3,60,52,67,62,86,59,78,82,,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,200000,70,200000,70,200000,70,70,3,3,3,4,4,4,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4,4,4,4,4,4,275250419,100
20,1,10,1,,2,4,5,5,5,3,3,6,5,5,7,7,5,5,1,3,5,5,2,7,5,6,5,7,7,6,2,3,1,1,1,1,1,6,5,4,7,5,4,6,5,6,2,3,3,3,3,5,7,7,10,30,60,0,0,15,35,45,2,3,7,7,7,7,6,6,6,7,7,7,6,6,5,6,5,6,5,5,1,5,1,5,1,6,6,6,6,6,6,6,6,6,6,6,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,1,1,1,6,6,2,6,1,6,Most,75,5,6,1,5,1,7,7,7,7,6,2,2,6,2,7,7,5,7,1,3,5,4,50,82,19,18,71,69,35,51,n/a,7,1,1,7,1,7,1,1,4,6,4,2,3,2,2,200,85,200,85,200000,85,85,1,5,2,1,2,5,1,4,1,3,2,5,3,4,3,3,3,3,1,3,5,5,1,5,5,1,5,5,2,6,2,3,8,5,4,2,2,7,4,5,4,4,271873381,100
20,2,10,1,,2,6,5,6,6,2,3,7,6,6,6,7,7,6,2,6,6,6,5,7,7,7,6,6,3,2,1,6,1,1,6,3,1,1,6,7,7,7,6,7,6,7,3,3,3,3,3,4,5,7,30,5,60,3,2,15,5,80,0,0,6,6,6,6,6,6,6,6,6,6,7,2,6,6,6,2,7,5,1,5,1,5,2,5,6,6,6,5,6,6,5,5,5,5,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,1,1,1,1,6,1,6,1,6,2,20,7,3,2,4,2,7,7,5,2,2,2,2,7,1,2,6,2,5,5,7,6,2,84,18,97,60,76,29,68,77,entitled,7,1,1,7,1,7,2,2,5,5,5,5,6,6,6,285,0.78,285,078,285000,0.78,78,3,3,3,1,1,6,6,1,3,1,4,3,3,4,2,4,4,2,2,3,3,3,4,2,5,2,3,2,5,2,6,8,6,3,3,3,1,4,4,5,7,2,388021302,100
18,1,10,1,,1,6,1,5,1,4,2,7,7,7,7,7,2,6,2,6,3,6,4,7,7,7,7,7,1,5,6,2,5,2,6,6,6,6,6,7,7,7,7,7,7,7,3,2,4,1,4,6,7,7,15,15,35,15,20,0,0,97,0,3,6,5,7,7,3,5,5,7,7,4,6,1,6,7,7,2,7,5,1,5,1,5,1,5,7,7,5,4,7,7,4,6,4,7,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,1,1,1,7,5,2,6,1,7,20,45,7,7,2,4,1,7,7,6,6,6,2,1,7,1,1,1,1,7,5,5,7,1,81,40,73,61,82,19,74,64,"Likely impolite, rude",7,1,1,7,1,6,1,1,5,7,7,6,7,4,7,£215000,0.58,215000,058,215000,0.58,58,2,5,1,1,1,6,7,1,2,1,5,5,1,5,1,5,5,1,1,3,5,3,5,5,5,1,5,3,8,8,2,3,5,6,6,1,1,7,1,7,7,1,507928079,100
20,2,10,1,,2,7,3,5,5,1,4,4,4,1,4,4,4,1,1,1,1,1,1,5,1,7,1,1,5,2,4,2,4,4,5,3,6,1,7,7,7,7,4,7,7,7,1,3,3,3,3,5,,6,10,10,80,0,0,0,20,80,0,0,6,6,6,6,7,7,7,7,7,7,7,6,5,4,4,4,4,5,1,5,1,5,1,1,1,1,1,1,1,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,4,4,4,4,4,4,4,4,4,1,30,7,7,4,1,4,7,6,7,7,4,4,4,4,4,4,4,4,4,4,4,4,4,100,29,71,82,38,21,47,41,--,4,4,4,4,4,4,5,5,4,4,4,4,4,4,4,--,--,,,,#VALUE!,,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,4,2,2,4,2,3,3,2,4,2,4,2,8,2,4,3,5,5,3,2,5,4,4,285641258,100
18,2,10,1,,1,4,3,5,5,3,4,7,2,3,5,6,7,3,2,5,3,3,2,4,5,5,4,4,5,3,1,2,1,2,2,4,3,1,5,6,7,5,4,5,6,7,3,3,3,3,3,5,,7,9,0,89,0,2,1,0,98,0,1,3,3,5,5,5,5,5,4,6,6,7,3,6,7,5,2,3,4,2,4,2,5,1,6,5,5,6,5,6,7,6,6,6,6,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,1,3,2,6,5,5,5,2,6,3,86,7,7,2,4,2,6,7,3,2,1,6,5,7,1,4,6,1,7,2,2,6,2,59,78,12,15,76,58,36,40,,6,2,3,5,4,4,2,2,5,3,2,2,4,5,6,200,0.68,200,068,200000,0.68,68,2,3,2,2,2,6,4,2,2,4,5,1,4,4,4,5,5,4,2,1,5,3,3,4,5,1,3,4,6,2,6,8,2,3,8,3,2,6,4,7,6,2,642101962,100
33,2,10,1,,1,5,1,5,5,3,1,7,6,5,6,6,3,5,2,3,1,1,1,2,4,6,2,5,6,4,6,5,2,6,3,6,6,6,6,6,6,5,4,5,4,5,3,3,3,3,3,,,7,5,15,80,0,0,0,0,0,0,0,3,3,7,7,4,7,7,7,7,7,7,2,7,7,7,1,7,5,1,5,1,4,1,7,7,7,7,7,7,7,7,5,4,6,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,2,2,2,5,5,2,5,3,5,0,,5,4,1,3,1,6,7,5,3,2,4,4,7,1,2,6,1,2,4,4,5,2,83,60,64,49,98,49,88,60,,7,2,2,6,2,7,5,5,5,5,4,3,4,4,4,250000,80,250000,80,250000,80,80,,,,2,2,5,4,1,,,,,,,,,,,2,3,5,4,1,4,4,2,4,5,6,4,6,2,3,8,2,5,2,6,,,,,425605008,100
